Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)","Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O),Type of analysis (R),,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
55,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.,"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson",JPSP,94,1,15-jan,https://osf.io/su6bm/,"Analysis of Variance, Attitude, Biofeedback, Psychology, Brain Mapping, Cognitive Dissonance, Decision Making, Female, Humans, Male, Models, Psychological, Prefrontal Cortex [physiology]",5,2,Harmon-Jones,12887,Texas A&M University,Harmon-Jones,12887,Texas A&M University,Gable,1296,University of Alabama,Gable,1296,University of Alabama,103,3.45,3.45,2.91,2.91,2,Social,1,Collected themselves,Extreme expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.5,3.75,0,0,0,0,0,1,1,0,P Gable,7/25/14,1-10-2015,M Kidwell,2,"F(2, 54) = 3.19",57,<.05,,,RM ANOVA,interaction,"action-oriented mindset resulted in attitude changes from pre- to post-decision to both chosen and rejected alternatives, while the positive-nonaction and neutral mindsets only resulted in changes in the rejected alternative",__p^2 = 0.11,0.84,84,108,132,Complete,108,0.9,1,B Kleinberg,"F(2, 68) = .3",71,0.74,same,,RM ANOVA,interaction,no,0.7,__p^2 = 0.01,M van Assen,,1,https://osf.io/79ctv/,PhD or equivalent,2010,Assistant Professor (or equivalent),Moderate Expertise,High Expertise,38,32,1268,was of slightly lower quality than the original study,was slightly worse than the average study,Moderately similar,"One difference between the original and replication is that the replication needed to rely on multiple experimenters instead of a single experimenter. Based on personal communication with the original author, the original study was most likely conducted using a single female experimenter in order to reduce variance introduced by multiple experimenters. Because of the required sample size and time constraints of the replication project, it was necessary to use five female experimenters.",Moderately similar,Moderately similar,Extremely challenging,Results were moderately surprising,X,1,No data used was pre-existing,Social,57,F,is,2,54,3.19,<,0.05,0.049036287,0.049036287,,0.229852265,71,F,is,2,68,0.3,is,0.74,0.741793627,0.741793627,,0.066130007,,3x2x2 within participants ANOVA,ANOVA,,1,0,1,54,68,,1,
56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.,"E van Dijk, GA van Kleef, W Steinel, I van Beest",JPSP,94,4,600-14,https://osf.io/xtsq6/,"Adult, Anger, Communication, Deception, Dominance-Subordination, Emotions, Fear, Female, Goals, Humans, Interpersonal Relations, Male, Motivation, Negotiating, Power (Psychology), Rejection (Psychology)",4,2,van Dijk,4910,Leiden University,van Dijk,4910,Leiden University,Voracek,6853,University of Vienna,Voracek,6853,University of Vienna,97,2.6,2.6,2.51,2.51,3,Social,1,Collected themselves,Moderate expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3,3.67,0,0,0,0,0,5,1,0,A Slowik,10/13/14,1-11-2015,J Cohoon,3,"F(1, 99) = 16.62",103,<.0001,,,ANOVA,main effect,"when consequences of rejection are low, do participants make lower offers to angry recipients than happy ones?",__p^2 = 0.1433,,49,65,80,Complete,103,0.98,2,F Cheung,t(38) = -0.260,83,0.796,opposite,2,t-test,main effect,no,0.95,d=0.082,J Matacotta,,1,https://osf.io/cxwev/,PhD or equivalent,2003,Associate Professor (or equivalent),Moderate Expertise,Moderate Expertise,324,310,6714,was about the same quality as the original study,was about the same as the average study,Very similar,"The sample consisted mainly of students, who participated voluntarily (as in the original study). We conducted the study in Austria, so Materials were in German - not in Dutch. We were provided with an English version by the original author. In our replication only 4 participants, participated simultaneously. In the original study there were groups of 8 participants. Moreover we had dummy participants (a total of 13), who came in, if a participant who signed up wouldnÇt show up on time. We didnÇt have a lab with closed cubicles as in the original study (Cubicles didnÇt have a back door). In the original study participants typed their offer after the instruction was presented on the screen and additionally were asked to write their offer on a sheet of paper that allegedly was given to the connected participant. The original author suggested to drop this second step.",Not at all similar,Very similar,Somewhat challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Personality,103,F,is,1,99,16.62,<,0.0001,9.23E-05,9.23E-05,,0.379139495,83,t,is,1,38,-0.26,is,0.796,0.796267394,0.796267394,,-0.042140104,,ANOVA,t-test,,1,0,1,99,38,0.278127509,0,1
57,I want to be creative: exploring the role of hedonic contingency theory in the positive mood-cognitive flexibility link,"ER Hirt, EE Devers, SM McCrea",JPSP,94,2,214-30,,"Adult, Affect, Cognition, Creativeness, Female, Humans, Male, Psychological Theory",3,2,Hirt,1600,Indiana University,Hirt,1600,Indiana University,Chu,0,Green Neuro Lab,Lam,0,Green Neuro Lab,105,3.53,3.53,,,3,Social,1,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,Slightly surprising,Somewhat exciting and important,0,,0,,0,1,0,0,P Chu,1/31/14,,J Cohoon,3,t(53) = -2.20,55,0.032,,2,independent samples t-test,main effect,"""participants in the happy mood-freezing condition gave significantly less creative responses on average than those in the happy nonmood-freezing condition""",d = -0.593,,90,118,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,55,t,is,1,53,-2.2,is,0.032,0.032188467,0.032188467,,0.289273426,,,,,,,,,,,,,,,,,,,,,,,,
58,Walking on eggshells: How expressing relationship insecurities perpetuates them.,"EP Lemay, MS Clark",JPSP,95,2,420-41,https://osf.io/ke43j/,"Adult, Affect, Analysis of Variance, Female, Humans, Interpersonal Relations, Male, Models, Psychological, Object Attachment, Questionnaires, Rejection (Psychology), Self Concept, Sexual Partners [psychology], Social Desirability, Social Perception, Spouses [psychology]",2,1,Lemay,986,Yale University,Clark,12819,Yale University,Baranski,0,UC Riverside,Baranski,0,UC Riverside,40,6.56,6.56,3.17,3.17,5,Social,1,Collected themselves,Strong expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,2.33,2.67,4,4,0,0,0,1,1,0,E Baranski,7/15/14,12/20/14,M Kidwell,5,"F(1, 182) = 5.24",186,<.05,,,RM ANOVA,interaction,"participants believed that the confederateÍs expressions were happier than their private feelings, more so in the vulnerable condition than in the control conditions",__p^2 = 0.028,,278,370,456,Complete,300,0.85,9,G Nilsonne,"F(1, 278) = .376",280,0.54,same,,RM ANOVA,interaction,no,0.86,__p^2 = .001,L Lazarevic,,1,https://osf.io/nhsdq/,Some graduate school,2011,PhD student,Slight Expertise,No Expertise,0,0,0,was about the same quality as the original study,was about the same as the average study,Extremely similar,none,Somewhat similar,Very similar,Very challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Personality,186,F,is,1,182,5.24,<,0.05,0.023221684,0.023221684,,0.167288593,280,F,is,1,278,0.376,is,0.54,0.540253118,0.540253118,,0.03675175,,ANOVA,repeated measures 2x2 ANOVA,,1,0,1,182,278,0.088976761,0,0
59,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.,"EP Lemay, MS Clark",JPSP,94,4,647-71,https://osf.io/h84qd/,"Adolescent, Adult, Communication, Data Collection, Female, Friends [psychology], Humans, Internet, Interpersonal Relations, Longitudinal Studies, Male, Marriage, Middle Aged, Projection, Questionnaires, Self Concept, Social Support, Spouses [psychology]",2,3,Lemay,986,Yale University,Clark,12819,Yale University,Marigold,409,University of Waterloo,Marigold,409,University of Waterloo,66,6.56,6.56,2.98,2.98,5,Social,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2,3,4,4,0,0,0,1,1,0,D Marigold,7/22/14,2/19/15,J Cohoon,5,b = .68,153,<.001,,2,multilevel model,regression,participants own responsiveness was a significant predictor of their perception of their partners' responsiveness,level 1 R2 = .68,,60,90,120,Complete,153,0.99,9,B Kleinberg,b=.70,216,0.0001,same,,multilevel model,regression,yes,0.99,b=.72,J Matacotta,,1,https://osf.io/wb4vd/,PhD or equivalent,2008,Assistant Professor (or equivalent),Some Expertise,Moderate Expertise,7,6,407,was about the same quality as the original study,was about the same as the average study,Extremely similar,Different sample. Ours was primarily psychology undergraduates.,Virtually identical,Extremely similar,Moderately challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Social,153,b,is,,,0.68,<,0.001,NA,,,NA,216,b,is,,,0.72,is,0.001,,,,,,multilevel model,multilevel model,,1,1,0,153,216,,,
60,Unraveling the role of forgiveness in family relationships.,"GR Maio, G Thomas, FD Fincham, KB Carnelley",JPSP,94,2,307-19,,"Adolescent, Adult, Attitude, Cross-Sectional Studies, Family [psychology], Family Relations, Female, Humans, Male, Persuasive Communication, Social Behavior",4,,Maio,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,1,0,0,0,,,,J Cohoon,1,T = 1.97,342,<.05,,,Wilcoxon's signed-rank test for matched pairs,main effect,the set of obtained associations (as standardized betas) with forgiveness over time in the parent-to-parent relationship was significantly stronger than the same associations with forgiveness over time in the parent-to-child relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,342,T,is,,,0.97,<,0.05,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
61,Poignancy: Mixed emotional experience in the face of meaningful endings.,"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen",JPSP,94,1,158-67,https://osf.io/sq8k9/,"Adult, Age Factors, Aged, Aging [psychology], Analysis of Variance, Emotions, Female, Human Development, Humans, Imagination, Male, United States",4,3,Ersner-Hershfield,919,Stanford University,Carstensen,21330,Stanford University,Talhelm,31,University of Virginia,Talhelm,31,University of Virginia,80,6.54,6.54,4.36,4.36,2,Social,1,Collected themselves,Slight expertise required,Strong opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,2,2.75,0,0,0,0,0,1,1,0,T Talhelm,1-1-2012,8-1-2014,T Talhelm,2,t(108) = -2.34,110,<.05,,2,independent-samples t-test,main effect,significant difference between the extent of mixed emotions reported by graduates reminded that they were experiencing their last day as students versus graduates who were not reminded.,d = .45,0.65,158,210,260,Complete,210,0.9,1,X,t(220) = 0.07,222,0.94,opposite,2,independent-samples t-test,main effect,no,0.99,d = -.01,W Vanpaemel,,1,https://osf.io/qedt9/,PhD or equivalent,2015,PhD student,Slight Expertise,Slight Expertise,9,7,165,was of slightly lower quality than the original study,was about the same as the average study,Very similar,"The biggest difference was that we approached graduating seniors BEFORE their graduation ceremony, whereas the original authors did so AFTER the ceremony. We did not discover this difference until afterwards.",Not at all similar,Not at all similar,Moderately challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Social,110,t,is,1,108,-2.34,<,0.05,0.021121432,0.021121432,,0.219666896,222,t,is,1,220,0.07,is,0.94,0.944257246,0.944257246,,-0.004719346,,independent-samples t-test,independent-samples t-test,,1,0,1,108,220,0.070123335,0,0
62,Culture and the cognitive and neuroendocrine responses to speech.,HS Kim,JPSP,94,1,32-47,,"Analysis of Variance, Asian Americans [psychology], Asian Continental Ancestry Group [psychology], Cognition [physiology], Cross-Cultural Comparison, European Continental Ancestry Group [psychology], Far East [ethnology], Female, Games, Experimental, Humans, Hydrocortisone [metabolism], Male, Problem Solving [physiology], Reaction Time, Saliva [metabolism], Speech [physiology], Stress, Psychological [ethnology], United States",1,,Kim,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,3,"F(3, 42) = 2.9",47,0.04,,,ANCOVA,interaction,"East Asian Americans have higher cortisol levels in the talking condition than in the silence condition, while European Americans have comparable or lower cortisol levels in the talking condition vs the silence condition",__p^2 = .07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,47,F,is,3,42,2.9,is,0.04,0.046042837,0.046042837,,0.239163565,,,,,,,,,,,,,,,,,,,,,,,,
63,1/f noise and effort on implicit measures of bias.,J Correll,JPSP,94,1,48-59,https://osf.io/fejxb/,"African Americans, Behavioral Research [statistics & numerical data], Bias (Epidemiology), European Continental Ancestry Group [psychology], Fourier Analysis, Humans, Prejudice, Reaction Time, Regression Analysis, Stereotyping",1,1,Correll,2379,University of Chicago,Correll,2379,University of Chicago,LeBel,839,Western University,LeBel,839,Western University,42,4.71,4.71,1.99,1.99,2,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.5,4.25,1,1,0,0,0,1,1,0,E LeBel,1-1-2012,10/20/12,E LeBel,2,"F(1, 68) = 5.52",71,<.02,,,between ANOVA using planned orthogonal contrasts,contrast,participants instructed to use race and avoid race exhibited less 1/f noise (as reflected in PSD slopes) than participants in the control condition,d=.56,,126,168,207,Complete,144,0.85,1,M Brandt,"F(1,145) = .794",148,0.374,same,,between ANOVA using planned orthogonal contrasts,contrast,no,0.86,d = .16,F Bosco,,1,https://osf.io/476wy/,PhD or equivalent,2011,Post-doc or Research Scientist,High Expertise,High Expertise,22,22,830,was of much higher quality than the original study,was much better than the average study,Extremely similar,Nationality of sample (Canadian undergraduates rather than American undergraduates),Not at all similar,Not at all similar,Slightly challenging,Results were moderately surprising,X,1,No data used was pre-existing,Social,71,F,is,1,68,5.52,<,0.02,0.021711499,0.021711499,,0.274010238,148,F,is,1,145,0.794,is,0.374,0.374369532,0.374369532,,0.073797292,,between ANOVA using planned orthogonal contrasts,between ANOVA using planned orthogonal contrasts,,1,0,1,68,145,0.139744999,0,1
64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.,"J F_rster, N Liberman, S Kuschel",JPSP,94,4,579-99,https://osf.io/mxryb/,"Association Learning, Attention, Concept Formation, Dominance, Cerebral, Female, Field Dependence-Independence, Generalization (Psychology), Gestalt Theory, Humans, Judgment, Male, Pattern Recognition, Visual, Psychomotor Performance, Self Concept, Social Identification, Social Perception, Time Perception",3,1,F_rster,7354,University of Amsterdam,Liberman,12768,Tel Aviv University,Reinhard,49,University of Virginia,Reinhard,49,University of Virginia,113,3.43,2.95,4.36,4.36,5,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3,3,4,4,0,0,0,1,1,0,D Reinhard,8/15/14,1-6-2015,J Cohoon,1,"F(2, 76) = 21.57",82,<.0001,,,ANOVA,interaction,processing style (global versus local versus control) did influence the impact of the prime (agressive versus neutral) on participantsÍ ratings of JohnÍs behavior (how agressive),__p^2 = .362,,21,27,31,Complete,128,0.95,2,B Kleinberg,"F(2, 65) = 0.865",71,0.426,same,,ANOVA,interaction,no,0.99,__p^2 = 0.0259,L Lazarevic,,1,https://osf.io/h2r9c/,Master's degree or equivalent,2014,PhD student,Some Expertise,Some Expertise,4,4,45,was about the same quality as the original study,was about the same as the average study,Extremely similar,We used different stimuli to induce the cognitive processing style.,Slightly similar,Slightly similar,Moderately challenging,Results were moderately surprising,X,1,No data used was pre-existing,Social,82,F,is,2,76,21.57,<,0.0001,3.81E-08,3.81E-08,,0.425496777,71,F,is,2,65,0.865,is,0.426,0.425841059,0.425841059,,0.11385379,,ANOVA,ANOVA,,1,0,1,76,65,,0,
65,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?,"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet",JPSP,94,3,495-515,https://osf.io/imrx2/,"Adolescent, Adult, Anger [physiology], Attitude, Empathy, Female, Group Processes, Guilt, Humans, Individuality, Interpersonal Relations, Male, Mental Recall [physiology], Motivation, Sex Factors, Social Behavior, Social Perception, Students [psychology]",5,2,Exline,3624,Case Western Reserve University,Baumeister,84112,Florida State University,Lin,0,Stanford University,Frank,1965,Stanford University,81,2.68,3.66,6.54,6.54,7,Social,1,Collected themselves,No expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.6,4,3,3,0,0,0,3,1,0,S Lin,1-1-2012,5-10-2012,M Frank,7,"F(1, 41) = 9.40",45,<.01,,,ANOVA,interaction,subtle priming (simply asking participants questions about their empathic understanding and personal capability of similar transgressions) can reduce menÍs feelings of vengefulness (but not women's),__p^2 = .186,,37,48,59,Complete,140,0.99,1,S Gripshover,"F(1, 131)=.018",135,0.89,same,,ANOVA,interaction,no,0.99,__p^2= .001,S Koleva,,1,https://osf.io/jfigk/,PhD or equivalent,2010,Associate Professor (or equivalent),Slight Expertise,Some Expertise,80,32,1995,was about the same quality as the original study,was about the same as the average study,Very similar,The population was more asian/asian-american. ,Somewhat similar,Moderately similar,Not at all challenging,Results were slightly surprising,X,1,No data used was pre-existing,Developmental,45,F,is,1,41,9.4,<,0.01,0.003830676,0.003830676,,0.431865646,135,F,is,1,131,0.018,is,0.89,0.893478732,0.893478732,,0.011721165,,2x2 ANOVA,2x2 ANOVA,,1,0,1,41,131,0.117713724,0,0
